RUUU,2.6533, 2.7903, 4.1767, 4.7103, 2.2227, 2.2531
RRUU,2.1111, 2.0556, 4.2555, 2.9762, 3.032, 3.4227, 5.2452
RRRU,1.8546, 1.8534, 1.888, 2.817, 1.9824, 2.9832, 6.1761
UUUR,2.6188, 5.705, 2.9777, 3.6565, 2.8352, 2.7049, 3.0048
UURR,2.9281, 4.5761, 3.1412, 2.2862, 2.2833
URRR,3.3275, 4.5005, 2.3088, 3.9108, 2.8058
RURU,2.9824, 5.071, 2.1159, 6.4452, 2.2443, 2.0365
URUR,5.6878, 6.1414, 3.422, 4.2396, 4.8051, 4.253, 3.9
URRU,4.4721, 3.5317
UUUU,2.5195, 3.5483, 1.7573, 2.1811, 1.6686, 2.3102, 3.1236, 4.6696, 1.708, 1.5654, 2.052, 2.7646, 1.7736
UP1,3.3275, 1.8546, 1.8534, 1.888, 2.817, 1.9824, 2.9832, 4.5005, 2.3088, 6.1761, 3.9108, 2.8058
UP2,2.1111, 5.6878, 2.9824, 2.9281, 2.0556, 6.1414, 3.422, 4.2555, 2.9762, 3.032, 4.2396, 4.8051, 4.253, 3.9, 4.5761, 4.4721, 3.4227, 5.2452, 3.1412, 5.071, 2.2862, 2.2833, 2.1159, 6.4452, 3.5317, 2.2443, 2.0365
UP3,2.6188, 5.705, 2.6533, 2.7903, 2.9777, 4.1767, 3.6565, 4.7103, 2.8352, 2.2227, 2.7049, 2.2531, 3.0048
UP4,2.5195, 3.5483, 1.7573, 2.1811, 1.6686, 2.3102, 3.1236, 4.6696, 1.708, 1.5654, 2.052, 2.7646, 1.7736
SW1,2.1111, 2.6533, 2.7903, 1.8546, 4.1767, 4.7103, 2.0556, 1.8534, 1.888, 2.2227, 4.2555, 2.9762, 3.032, 2.817, 1.9824, 2.2531, 3.4227, 5.2452, 2.9832, 2.5195, 6.1761, 3.5483, 1.7573, 2.1811, 1.6686, 2.3102, 3.1236, 4.6696, 1.708, 1.5654, 2.052, 2.7646, 1.7736
SW2,2.6188, 5.705, 3.3275, 2.9281, 2.9777, 3.6565, 2.8352, 2.7049, 4.5761, 3.0048, 3.1412, 4.5005, 2.3088, 3.9108, 2.2862, 2.2833, 2.8058
SW3,2.9824, 4.4721, 5.071, 2.1159, 6.4452, 3.5317, 2.2443, 2.0365
SW4,5.6878, 6.1414, 3.422, 4.2396, 4.8051, 4.253, 3.9
