RUUU,6.9935, 4.1933, 4.6938
RRUU,3.9195, 4.5481, 4.0326, 2.5873, 2.0773
RRRU,5.1032, 3.9942, 3.4306, 2.1176
UUUR,5.1561, 3.4655, 3.2786, 3.999, 6.0856
UURR,3.8257, 6.2864
URRR,3.5763, 3.5314, 10.5184, 4.3044
RURU,4.9627, 4.4021
URUR,8.912, 5.2651, 4.1258, 10.1468, 3.8711
URRU,4.4148, 6.5329, 8.2068, 5.2257
UUUU,3.0695, 3.9549, 2.5872, 2.5289, 1.9213, 3.0105, 2.1632, 2.4204, 2.042
UP1,3.5763, 5.1032, 3.9942, 3.5314, 3.4306, 10.5184, 4.3044, 2.1176
UP2,3.9195, 3.8257, 4.5481, 4.0326, 4.9627, 4.4148, 4.4021, 8.912, 6.5329, 2.5873, 2.0773, 5.2651, 6.2864, 8.2068, 5.2257, 4.1258, 10.1468, 3.8711
UP3,6.9935, 5.1561, 4.1933, 3.4655, 3.2786, 3.999, 6.0856, 4.6938
UP4,3.0695, 3.9549, 2.5872, 2.5289, 1.9213, 3.0105, 2.1632, 2.4204, 2.042
SW1,3.9195, 3.0695, 4.5481, 5.1032, 3.9549, 4.0326, 3.9942, 6.9935, 4.1933, 2.5873, 2.5872, 2.0773, 3.4306, 2.5289, 2.1176, 1.9213, 3.0105, 2.1632, 4.6938, 2.4204, 2.042
SW2,3.8257, 3.5763, 5.1561, 3.5314, 3.4655, 3.2786, 6.2864, 10.5184, 4.3044, 3.999, 6.0856
SW3,4.9627, 4.4148, 4.4021, 6.5329, 8.2068, 5.2257
SW4,8.912, 5.2651, 4.1258, 10.1468, 3.8711
