RUUU,5.1702, 4.3119, 3.6253, 3.4287, 3.786, 6.9152, 3.7263, 3.4091, 2.9197
RRUU,4.3685, 4.2441, 4.8539, 3.4685, 2.7899, 3.5753, 3.7981, 4.2587, 5.9499, 5.7094
RRRU,4.4069, 4.6204, 3.1207, 4.8166, 4.1984, 2.8499, 3.3753
UUUR,6.2604, 3.0851, 3.5472, 4.7117, 4.1944, 3.4082, 4.9385, 4.0524, 3.7238
UURR,9.2109, 4.8993, 6.6355, 4.689, 4.6839, 5.419, 3.3782
URRR,5.8608, 8.2641, 7.3986, 5.3138, 3.8093, 7.5582, 2.6364, 10.3654, 3.3573
RURU,6.466, 8.6823, 12.3879, 5.1129, 4.8138, 4.908, 6.3526, 5.5357, 5.7748
URUR,13.4423, 12.9026, 8.3982, 6.2792, 11.3923, 9.8181, 3.73, 7.9379, 7.1033, 4.4473
URRU,6.0605, 15.5904, 5.4967, 7.2333, 13.8881, 8.6736, 6.9899, 5.1301, 7.3084
UUUU,3.5588, 2.9254, 3.7473, 2.8955, 3.1004, 2.5204, 2.4439, 3.5937, 3.5606, 2.4961
UP1,5.8608, 8.2641, 4.4069, 7.3986, 4.6204, 5.3138, 3.8093, 3.1207, 7.5582, 2.6364, 4.8166, 4.1984, 2.8499, 10.3654, 3.3573, 3.3753
UP2,6.0605, 6.466, 4.3685, 9.2109, 15.5904, 13.4423, 12.9026, 8.3982, 4.2441, 5.4967, 7.2333, 4.8539, 8.6823, 13.8881, 8.6736, 3.4685, 2.7899, 6.2792, 12.3879, 6.9899, 5.1301, 3.5753, 3.7981, 4.2587, 4.8993, 6.6355, 4.689, 5.9499, 4.6839, 5.7094, 5.419, 11.3923, 9.8181, 3.73, 7.9379, 3.3782, 5.1129, 7.1033, 4.4473, 4.8138, 4.908, 6.3526, 5.5357, 7.3084, 5.7748
UP3,5.1702, 4.3119, 6.2604, 3.0851, 3.6253, 3.4287, 3.5472, 3.786, 4.7117, 4.1944, 3.4082, 6.9152, 3.7263, 3.4091, 4.9385, 4.0524, 3.7238, 2.9197
UP4,3.5588, 2.9254, 3.7473, 2.8955, 3.1004, 2.5204, 2.4439, 3.5937, 3.5606, 2.4961
SW1,4.3685, 3.5588, 4.4069, 4.2441, 4.6204, 5.1702, 4.8539, 4.3119, 2.9254, 3.4685, 2.7899, 3.7473, 2.8955, 3.6253, 3.4287, 3.786, 3.5753, 3.7981, 4.2587, 3.1207, 4.8166, 4.1984, 6.9152, 5.9499, 3.7263, 2.8499, 3.1004, 5.7094, 3.4091, 2.5204, 2.9197, 2.4439, 3.5937, 3.5606, 2.4961, 3.3753
SW2,5.8608, 9.2109, 8.2641, 7.3986, 6.2604, 5.3138, 3.0851, 3.5472, 4.7117, 3.8093, 4.8993, 4.1944, 7.5582, 2.6364, 3.4082, 6.6355, 4.689, 4.6839, 4.9385, 4.0524, 10.3654, 3.7238, 5.419, 3.3782, 3.3573
SW3,6.0605, 6.466, 15.5904, 5.4967, 7.2333, 8.6823, 13.8881, 8.6736, 12.3879, 6.9899, 5.1301, 5.1129, 4.8138, 4.908, 6.3526, 5.5357, 7.3084, 5.7748
SW4,13.4423, 12.9026, 8.3982, 6.2792, 11.3923, 9.8181, 3.73, 7.9379, 7.1033, 4.4473
